"unitid","revenue","expenditure","enrollment","partic","women"
141264,3301.401,3715.042,2696.4,172,0
141334,3813.85,3813.85,3185.5,149,0
141361,9952.208,9952.208,459.928571428571,651,0
141486,4635.534,4635.534,420.6,253,0
141565,6477.692,6443.919,894,291,0
141574,26083.083,27736.299,4672,412,0
141644,9103.76,9103.76,883.4,336,0
142115,24826.12,22280.874,5785,553,0
142276,9412.023,10188.222,2984,510,0
142285,14537.347,14537.347,3706.8,538,0
142294,4389.861,4389.861,469.6,717,0
142328,4385.924,4385.924,868.448275862069,554,0
142443,1830.445,2137.81,928,241,0
142461,8032.721,8032.721,455.6,614,0
142559,4287.186,4287.186,772.454545454545,213,0
143084,5255.117,5255.117,1083.57894736842,1742,0
143118,4628.331,4514.549,1250.45454545455,1399,0
143215,2170.162,2170.162,1730.2,197,0
143279,395.275,391.772,756.6,67,0
143288,975.106,970.402,235.6,268,0
143358,21789.597,21789.597,2157,500,0
143613,729.99,690.358,364,131,0
144005,8672.449,7354.398,470.166666666667,324,0
144050,5104.592,5104.592,3233,1156,0
144157,437.044,437.044,561.2,72,0
144166,641.749,641.749,622.6,96,0
144175,313.761,313.761,272.25,69,0
144184,363.269,363.269,683,86,0
144193,398.329,398.329,1069.14285714286,107,0
144218,366.8,366.8,1535.6,64,0
144351,2768.492,2662.459,564.4,647,0
144564,1122.972,1115.3,367.454545454545,99,0
144740,43156.481,43156.481,6126.6,687,0
144865,856.225,855.225,3460.59259259259,394,0
144892,10047.419,10047.419,1932.2,1038,0
144944,554.159,554.159,1579.8,214,0
144962,3305.831,3302.221,1071.25714285714,858,0
144971,715.239,715.239,292.4,257,0
145336,1720.539,1477.129,721.25,160,0
145372,2521.377,2257.31,468.68,1027,0
145521,715.567,639.901,323,122,0
145600,18589.103,21008.322,8595.20689655172,914,0
145619,7591.178,6876.46,1111.5625,1445,0
145637,107213.107,74958.337,17448,831,0
145646,3523.746,3523.746,787.6,1142,0
145682,1547.368,1547.368,1527.30769230769,219,0
145691,2229.133,2229.133,468.2,689,0
145707,962.152,936.09,225,71,0
145725,2913.3,2913.3,1895.82051282051,732,0
145813,18209.942,18209.942,7577,775,0
145831,480.454,444.085,542.692307692308,177,0
146205,1628.539,1628.539,835,107,0
146278,643.992,648.278,427.714285714286,105,0
146296,460.289,420.142,2417.28571428571,206,0
146339,7793.142,7703.585,362.459459459459,717,0
146348,1055.065,1051.761,456,68,0
146366,1355.511,1355.511,462.5,157,0
146418,291.153,258.408,592.125,105,0
146427,2351.447,2351.971,552.5,679,0
146472,792.058,717.064,1970,262,0
146481,3134.56,3134.56,639.2,712,0
146506,890.316,884.347,968.2,75,0
